ORGAO;FORNECEDOR;CNPJ;OBJETO;VALOR;MODALIDADE;CONTRATO;DATA_ASSINATURA;VIGENCIA_DIAS;PROCESSO_ADM;LICITACAO;EVENTO;DATA_PUBLICACAO
AUTARQUIA HOSPITALAR MUNICIPAL;OXY SYSTEM EQUIPAMENTOS MÉDICOS LTDA.;58.763.350/0001-90;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE EQUIPAMENTOS ELETROMEDICOS E DE ASSISTÊNCIA VENTILATÓRIA PULMONAR MICROPROCESSADOS INCLUINDO MANUTENÇÃO PREVENTIVA E CORRETIVA, CALIBRAÇÃO E TESTES DE SEGURANÇA COM EMISSÃO DE CERTIFICADOS, PARA A UNIDADE H.M BENEDITO MONTENEGRO VINCULADA A ESTA AUTARQUIA.;;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;103/2015;17/4/2020;1;2015-0.121.344-6;019/2015;EXTRATO DE ADITAMENTO;18/4/2020
AUTARQUIA HOSPITALAR MUNICIPAL;PA ARQUIVOS LTDA;34.409.656/0001-84;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE GERENCIAMENTO INFORMATIZADO DO ACERVO DE DOCUMENTOS DAS UNIDADES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL INCLUINDO: RECEBIMENTO, COLETA, ARQUIVAMENTO, GUARDA, DIGITALIZAÇÃO, DESARQUIVAMENTO/REARQUIVAMENTO PARA CONSULTA E TRANSFERÊNCIA;;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;198/2014 TA 001/2020;25/8/2020;;2014-0.109.056-3;067/2014;EXTRATO DE ADITAMENTO;9/9/2020
AUTARQUIA HOSPITALAR MUNICIPAL;TELEFONICA BRASIL SA;02.558.157/0001-62;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇO TELEFÔNICO FIXO COMUTADO(STFC), CONTINUO, POR MEIO DE ENTRONCAMENTOS DIGITAIS(E1) COM SERVIÇO DE DISCAGEM DIRETA A RAMAL ? DDR.;;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;TRC 001/20 TC 125/18;13/4/2020;;6110.2017/0006023-0;283/2017;EXTRATO DE CONTRATO / NOTA DE EMPENHO;28/5/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;E. SERVICE COMÉRCIO E SERVIÇOS EIRELI;05.079.086/0001-03;Contratação de empresa para prestação de serviços administrativos de Telefonista, Recepcionista, Copeira, Operador de Reprografia, Ajudante de Carga e Descarga e Porteiro, por um período de 30 (trinta) meses, nas condições indicadas no Anexo I Termo de Referência.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;ADT 62/20-CTO 103/18;16/10/2020;;1484/17;047/17;EXTRATO DE ADITAMENTO;30/10/2020
COMPANHIA METROPOLITANA DE HABITAÇÃO;COMPANHIA EXCELSIOR DE SEGUROS;33.054.826/0001-92;CONTRATAÇÃO DE SEGURO HABITACIONAL EM APÓLICE DE MERCADO ? SH/AM, DE ACORDO COM A RESOLUÇÃO CNSP Nº 205, DE 18/11/2009 - SUSEP, PARA A COBERTURA DOS RISCOS DE MORTE E INVALIDEZ PERMANENTE DO SEGURADO E DE DANOS FÍSICOS DOS IMÓVEIS DAS UNIDADES HABITACIONAIS VINCULADAS AOS PROGRAMAS HABITACIONAIS DA COMPANHIA METROPOLITANA DE HABITAÇÃO DE SÃO PAULO ? COHAB-SP, SOB A RESPONSABILIDADE ÚNICA E EXCLUSIVA DA SEGURADORA CONTRATADA, NOS TERMOS DAS ESPECIFICAÇÕES QUE INTEGRAM O EDITAL E SEUS ANEXOS.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;064/20;19/11/2020;365;2015-0.115.138-6;002/15;EXTRATO DE ADITAMENTO;2/12/2020
COMPANHIA METROPOLITANA DE HABITAÇÃO;GOMAQ MÁQUINAS PARA ESCRITÓRIO LTDA.;61.457.941/0001-43;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE COPIADORAS DE MÉDIO À GRANDE PORTE, PARA CÓPIA, IMPRESSÃO E SCANNER, COM FORNECIMENTO DE MATERIAL DE CONSUMO, EXCETO PAPEL, INCLUINDO ASSISTÊNCIA TÉCNICA DE MANUTENÇÃO PREVENTIVA E CORRETIVA, NOS TERMOS DAS ESPECIFICAÇÕES QUE INTEGRAM O EDITAL E SEUS ANEXOS.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;016/20;7/4/2020;;7610.2019/0001853-0;PE 003/2019;EXTRATO DE ADITAMENTO;17/4/2020
COMPANHIA METROPOLITANA DE HABITAÇÃO;NEXSTAR SERVIÇOS EIRELI;09.003.772/0001-51;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, ASSEIO E CONSERVAÇÃO, PROPORCIONANDO CONDIÇÕES ADEQUADAS DE SALUBRIDADE E HIGIENE NAS INSTALAÇÕES DA COHAB-SP, COM DISPONIBILIZAÇÃO DE MÃO-DE-OBRA, SANEANTES DOMISSANITÁRIOS, PRODUTOS DE HIGIENE PESSOAL, EQUIPAMENTOS, DESINSETIZAÇÃO E DESRATIZAÇÃO, NOS TERMOS DAS ESPECIFICAÇÕES QUE INTEGRAM O EDITAL E SEUS ANEXOS.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;007/20;31/1/2020;;2014-0.157.518-4;003/14;EXTRATO DE ADITAMENTO;12/2/2020
CULTURA;4KSEG Soluções Tecnológicas EIRELI- ME;26.202.210/0001-56;Prestação de serviços de Solução Completa de Sistema de Monitoramento por Câmeras (CFTV), incluindo o fornecimento de equipamentos e materiais, instalação, configuração, adequação de locais de instalação e funcionamento.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;045/FTMSP/2020;14/2/2020;15;8510.2019/0000444-0;002/FTMSP/2019;EXTRATO DE ADITAMENTO;19/2/2020
CULTURA;E-DOC Gestão de Documentos EIRELI - ME;31.055.855/0001-43;Contratação de empresa especializada nos serviços de inspeção, classificação, catalogação e organização dos documentos do acervo artístico e administrativo do Conservatório Dramático e Musical da FTMSP.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;185/FTMSP/2020;21/9/2020;60;8510.2019/0000779-1;008/FTMSP/2019;EXTRATO DE ADITAMENTO;2/10/2020
CULTURA;EMPRESA BRASILEIRA DE MEDIÇÕES E OBRAS LTDA - EPP;20.938.008/0001-00;Contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB para o Solar da Marquesa de Santos.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;053/SMC-G/2018;1/4/2020;90;6025.2018/0009122-5;116 - SMC-G-2018;EXTRATO DE ADITAMENTO;18/8/2020
CULTURA;EMPRESA BRASILEIRA DE MEDIÇÕES E OBRAS LTDA - EPP;20.938.008/0001-00;Contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB para o Solar da Marquesa de Santos.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;055/SMC-G/2018;19/12/2019;90;6025.2018/0009122-5;116 - SMC-G-2018;EXTRATO DE ADITAMENTO;16/1/2020
CULTURA;MRS SEGURANÇA E VIGILÂNCIA PATRIMONIAL EIRELI;19.210.884/0001-37;objetivando a contratação de empresa especializada em serviços de vigilância/segurança patrimonial para as dependências do Departamento dos Museus Municipais, Departamento do Patrimônio Histórico e Arquivo Histórico Municipal;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;065/SMC-G/2019;23/3/2020;268;6025.2018/0012355-0;58-SMC-G-2019;EXTRATO DE ADITAMENTO;5/8/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA;60.863.966/0001-84;Contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB para a Biblioteca Prefeito Prestes Maia e o Teatro Leopoldo Fróes.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;075/SMC-G/2018;10/4/2020;90;6025.2018/0013384-0;121-SMC-G-2018;EXTRATO DE ADITAMENTO;15/8/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA;60.863.966/0001-84;objetivando a contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB, do Centro Cultural Municipal da Vila Formosa ? CCVF;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;035/SMC-G/2019;7/2/2020;60;6025.2018/0008452-0;6025.2018/0008452-0;EXTRATO DE ADITAMENTO;7/2/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA;60.863.966/0001-84;Contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB do Teatro Municipal de Santana Alfredo Mesquita ? TAM;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;024/SMC-G/2019;14/11/2019;60;6025.2018/0008012-6;6025.2018/0008012-6;EXTRATO DE ADITAMENTO;1/2/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA;60.863.966/0001-84;contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB do Teatro Municipal do Cangaíba Flávio Império;;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;076/SMC-G/2018;6/11/2019;60;6025.2018/0008150-5;112 - SMC-G-2018;EXTRATO DE ADITAMENTO;1/2/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA;60.863.966/0001-84;contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB para a Biblioteca Pública Municipal Anne Frank e o Teatro Municipal do Itaim Bibi Décio de Almeida Prado ? TDAP;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;027/SMC-G/2019;16/12/2019;60;6025.2018/0013324-6;130-SMC-G-2018;EXTRATO DE ADITAMENTO;16/1/2020
CULTURA;OFOS SERVIÇOS PREDIAIS LTDA.;60.863.966/0001-84;Contratação de empresa para elaboração de parte inicial dos serviços corretivos necessários nas instalações elétricas e em medidas de segurança, para obtenção de Auto de Vistoria do Corpo de Bombeiros ? AVCB para a Biblioteca Prefeito Prestes Maia e o Teatro Leopoldo Fróes.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;075/SMC-G/2019;3/2/2020;60;6025.2018/0013384-0;121-SMC-G-2018;EXTRATO DE ADITAMENTO;6/3/2020
CULTURA;Philharmonie Importação e Exportação LTDA - EPP;10.338.868/0001-50;Aquisição de instrumentos musicais para as Escolas.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;046/FTMSP/2020;21/2/2020;90;8510.2019/0000799-6;009/FTMSP/2019;EXTRATO DE ADITAMENTO;18/7/2020
DESENVOLVIMENTO ECONOMICO E TRABALHO;RENATO FRIAS ME;01.805.963/0001-25;aquisição, conforme a demanda, de água mineral natural ou potável de mesa acondicionada em garrafões de 20 litros (vinte litros), classificada segundo o Código de Águas Minerais como potável, mineralizada, não gaseificada, com, lacre de segurança devidamente acondicionado em plástico protetor, conforme Resolução ANVISA.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;01-2019/SMDET;27/12/2019;180;6064.2019/0000290-1;001-B/SMDET/2019;EXTRATO DE ADITAMENTO;18/1/2020
DESENVOLVIMENTO URBANO;LOGISTICS SOLUTIONS BRASIL COM. IMP. E EXP. SERV.;17.607.064/0001-58;Prestação de Serviços de Empresa especializada em serviços de solução logística para o PROGRAMA CIDADE SOLIDARIA, para entrega de CESTAS BASICAS, KITS DE HIGIENE E LIMPEZA, MASCARAS FACIAIS E LIVROS, no Município de São Paulo, conforme especificações constantes do Anexo I deste Edital.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;012/2020/SMDU;15/10/2020;60;6066.2020/0002654-4;004/SMDU/2020;EXTRATO DE ADITAMENTO;22/10/2020
DESENVOLVIMENTO URBANO;OTIMA SOLUÇÃO EM ALIMENTAÇÃO LTDA.;13.884.131/0001-20;Contratação de Empresa para fornecimento de 440.000 (quatrocentos e quarenta mil) Cestas de suprimento alimentar para atender a necessidade de enfrentamento do COVID-19, conforme Termo de Referência, que integra o Edital de Licitação do presente Pregão Eletrônico Simplificado como Anexo I.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;13/2020/SMDU;12/11/2020;40;6066.2020/0002658-7;003/SMDU/2020;EXTRATO DE ADITAMENTO;1/12/2020
EDUCAÇÃO;;71.632.160/0001-00;PREGÃO 04/DRE IP/2016 ? LOCAÇÃO DE VUC E TOCO I;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;01/DRE IP/2020;17/3/2020;;6016.2016/0003321-4;04/DRE IP/2016;EXTRATO DE ADITAMENTO;9/4/2020
EDUCAÇÃO;A7 DISTRIBUIDORA DE MEDICAMENTOS EIRELI;12.664.453/0001-00;Registro de preços para aquisição de materiais e higiene IV: escova dental infantil (0 a 2 anos), escova dental infantil (2 a 5 anos), pasta dental infantil sem flúor, pasta dental infantil com flúor e babador.;;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;31/SME/2020;24/3/2020;156;6016.2018/0027211-5;05/SME/2019;EXTRATO DE ADITAMENTO;30/5/2020
